Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1700087089.3150933,0,80689,0,GPS1_Frame,42.33670666666667,-71.09386333333333,19.6,1.3,327504.7542127738,4689284.742243948,0.0,19,T
1700087090.3212223,0,80690,0,GPS1_Frame,42.336636666666664,-71.09390333333334,19.3,1.3,327501.2674201352,4689277.050420447,0.0,19,T
1700087091.3188636,0,80691,0,GPS1_Frame,42.33656666666668,-71.09394666666667,19.0,1.3,327497.5060038365,4689269.365360802,0.0,19,T
1700087092.3163157,0,80692,0,GPS1_Frame,42.336499999999994,-71.09398833333333,18.8,1.3,327493.8910029697,4689262.047063151,0.0,19,T
1700087093.3228664,0,80693,0,GPS1_Frame,42.33643666666667,-71.094025,18.3,1.3,327490.697035646,4689255.088764779,0.0,19,T
1700087094.3225744,0,80694,0,GPS1_Frame,42.33637333333333,-71.09406,17.7,1.3,327487.6403711759,4689248.127086435,0.0,19,T
1700087095.3191793,0,80695,0,GPS1_Frame,42.336311666666674,-71.09409666666667,17.5,1.3,327484.4509498093,4689241.3538613515,0.0,19,T
1700087096.325512,0,80696,0,GPS1_Frame,42.336253333333325,-71.09413166666667,17.2,1.3,327481.40794696414,4689234.947397498,0.0,19,T
1700087097.32653,0,80697,0,GPS1_Frame,42.33620333333333,-71.09416166666666,17.0,1.8,327478.7996547008,4689229.456143739,0.0,19,T
1700087098.3236558,0,80698,0,GPS1_Frame,42.336163333333324,-71.09418666666667,16.9,1.3,327476.6306326499,4689225.065170283,0.0,19,T
1700087099.3187423,0,80699,0,GPS1_Frame,42.33613833333334,-71.09420166666668,17.1,1.3,327475.3264835462,4689222.319544113,0.0,19,T
1700087100.3193262,0,80700,0,GPS1_Frame,42.336124999999996,-71.09420833333334,16.9,1.3,327474.7407843767,4689220.852505006,0.0,19,T
1700087101.3191745,0,80701,0,GPS1_Frame,42.33612,-71.09421166666667,16.9,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087102.3219082,0,80702,0,GPS1_Frame,42.33612,-71.09421166666667,17.2,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087103.3230877,0,80703,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087104.3236675,0,80704,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087105.3223038,0,80705,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087106.3234158,0,80706,0,GPS1_Frame,42.336115,-71.09421333333333,16.8,1.3,327474.3015098542,4689219.752225705,0.0,19,T
1700087107.3229513,0,80707,0,GPS1_Frame,42.336108333333335,-71.09421666666667,17.0,1.3,327474.00866010203,4689219.018706187,0.0,19,T
1700087108.3225212,0,80708,0,GPS1_Frame,42.33609333333334,-71.09422166666667,16.8,1.8,327473.5557119517,4689217.363214953,0.0,19,T
1700087109.3311388,0,80709,0,GPS1_Frame,42.336073333333324,-71.09423166666667,16.8,1.8,327472.6771620492,4689215.16265651,0.0,19,T
